Order_ID,Month,City,Area,Restaurant,Food_Category,Item_Name,Quantity,Unit_Price,Discount,Delivery_Fee,Subtotal,Total_Amount,Cost,Profit,Meal_Time,Order_Status,Payment_Method,Rating
ORD-1017,Jan,Lahore,DHA,Haveli Restaurant,Dessert,Gulab Jamun,3,191,0.15,79,573,566,315,251,Dinner,Delivered,Credit Card,3.5
ORD-1018,Jan,Lahore,Model Town,Haveli Restaurant,Burger,Double Patty Burger,5,548,0.0,0,2740,2740,1507,1233,Breakfast,Delivered,JazzCash,4.0
ORD-1019,Jan,Lahore,DHA,Yum! Lahore,BBQ,Mix BBQ Platter,3,1494,0.0,0,4482,4482,2465,2017,Dinner,Delivered,JazzCash,3.5
ORD-1020,Jan,Lahore,DHA,Yum! Lahore,Broast,Full Broast,2,517,0.0,99,1034,1133,569,564,Lunch,Cancelled,Debit Card,
ORD-1021,Jan,Lahore,Johar Town,Hussain Chowk Paye,Shawarma,Mayo Shawarma,4,359,0.0,0,1436,1436,790,646,Dinner,Delivered,EasyPaisa,3.5
ORD-1022,Jan,Lahore,Johar Town,Pak Tea House,BBQ,Seekh Kabab,4,1079,0.15,79,4316,3748,2374,1374,Late Night,Delivered,Debit Card,5.0
ORD-1023,Jan,Lahore,Gulberg,Yum! Lahore,Pizza,Pepperoni Pizza,4,846,0.2,0,3384,2707,1861,846,Breakfast,Cancelled,EasyPaisa,
ORD-1024,Jan,Lahore,Johar Town,McDonald's Gulberg,Burger,Smash Burger,4,563,0.0,79,2252,2331,1239,1092,Late Night,Delivered,Cash on Delivery,5.0
ORD-1025,Jan,Lahore,Cantt,Waris Nihari,Broast,Half Broast,3,598,0.0,99,1794,1893,987,906,Breakfast,Delivered,Cash on Delivery,4.5
ORD-1026,Jan,Lahore,DHA,McDonald's Gulberg,Broast,Full Broast,2,634,0.0,0,1268,1268,697,571,Lunch,Cancelled,EasyPaisa,
ORD-1027,Jan,Lahore,Cantt,Yum! Lahore,BBQ,Mix BBQ Platter,4,1138,0.0,79,4552,4631,2504,2127,Breakfast,Cancelled,Debit Card,
ORD-1028,Jan,Lahore,Bahria Town,Bundu Khan Lahore,Burger,Crispy Burger,5,581,0.0,79,2905,2984,1598,1386,Breakfast,Delivered,Debit Card,5.0
ORD-1029,Jan,Lahore,Wapda Town,Spice Bazaar,Dessert,Ras Malai,5,229,0.0,0,1145,1145,630,515,Lunch,Cancelled,JazzCash,
ORD-1030,Jan,Lahore,Cantt,Lahori Chargha,Desi,Aloo Gosht,3,439,0.0,79,1317,1396,724,672,Late Night,Delivered,JazzCash,4.0
ORD-1031,Jan,Lahore,Model Town,Andaaz,Desi,Daal Makhni,4,406,0.0,0,1624,1624,893,731,Late Night,Delivered,JazzCash,4.5
ORD-1032,Jan,Lahore,Cantt,Bundu Khan Lahore,Dessert,Kheer,5,177,0.0,99,885,984,487,497,Breakfast,Delivered,EasyPaisa,5.0
ORD-1033,Jan,Lahore,Bahria Town,Cafe Aylanto,Desi,Haleem,2,319,0.1,0,638,574,351,223,Breakfast,Delivered,EasyPaisa,4.0
ORD-1034,Jan,Lahore,Model Town,McDonald's Gulberg,Nihari,Mutton Nihari,4,378,0.0,79,1512,1591,832,759,Lunch,Delivered,Debit Card,4.0
ORD-1035,Jan,Lahore,Johar Town,Salt'n Pepper,Desi,Daal Makhni,2,350,0.1,0,700,630,385,245,Breakfast,Delivered,Debit Card,3.0
ORD-1036,Jan,Lahore,DHA,Hussain Chowk Paye,Dessert,Kheer,1,217,0.0,99,217,316,119,197,Late Night,Delivered,Debit Card,3.0
ORD-1037,Jan,Lahore,Wapda Town,Salt'n Pepper,Karahi,Chicken Karahi,5,780,0.2,79,3900,3199,2145,1054,Late Night,Delivered,JazzCash,4.0
ORD-1038,Jan,Lahore,Gulberg,Waris Nihari,Nihari,Nalli Nihari,1,398,0.2,0,398,318,219,99,Breakfast,Delivered,JazzCash,3.0
ORD-1039,Jan,Lahore,Garden Town,Cuckoo's Den,Biryani,Chicken Biryani,2,354,0.15,79,708,681,389,292,Late Night,Delivered,Cash on Delivery,3.0
ORD-1040,Jan,Lahore,Johar Town,Haveli Restaurant,Pizza,Fajita Pizza,4,992,0.2,49,3968,3223,2182,1041,Breakfast,Delivered,JazzCash,4.0
ORD-1041,Jan,Lahore,Bahria Town,Bundu Khan Lahore,Shawarma,Chicken Shawarma,3,299,0.2,49,897,767,493,274,Breakfast,Delivered,JazzCash,3.5
ORD-1042,Jan,Lahore,Cantt,Andaaz,Biryani,Prawn Biryani,2,422,0.0,49,844,893,464,429,Late Night,Cancelled,Credit Card,
ORD-1043,Jan,Lahore,DHA,Bundu Khan Lahore,Pizza,Pepperoni Pizza,1,716,0.2,49,716,622,394,228,Late Night,Delivered,EasyPaisa,4.0
ORD-1044,Jan,Lahore,Bahria Town,Waris Nihari,Burger,Zinger Burger,3,507,0.1,0,1521,1369,837,532,Lunch,Delivered,Cash on Delivery,4.0
ORD-1045,Jan,Lahore,Bahria Town,Waris Nihari,Desi,Haleem,4,454,0.0,79,1816,1895,999,896,Lunch,Delivered,Credit Card,3.0
ORD-1046,Jan,Lahore,Clifton,Pak Tea House,Nihari,Beef Nihari,4,341,0.2,79,1364,1170,750,420,Lunch,Delivered,Cash on Delivery,3.5
ORD-1047,Jan,Lahore,Cantt,Hussain Chowk Paye,Karahi,Chicken Karahi,1,1137,0.0,0,1137,1137,625,512,Late Night,Cancelled,Cash on Delivery,
ORD-1048,Jan,Lahore,Garden Town,Hussain Chowk Paye,Desi,Aloo Gosht,4,333,0.0,99,1332,1431,733,698,Breakfast,Cancelled,Cash on Delivery,
ORD-1049,Jan,Lahore,Johar Town,McDonald's Gulberg,Desi,Haleem,3,419,0.0,99,1257,1356,691,665,Lunch,Delivered,EasyPaisa,3.5
ORD-1050,Jan,Lahore,DHA,Charcoal Grill,Dessert,Ras Malai,3,176,0.1,0,528,475,290,185,Dinner,Delivered,Credit Card,5.0
ORD-1051,Jan,Lahore,Bahria Town,Salt'n Pepper,Dessert,Kheer,5,181,0.0,99,905,1004,498,506,Lunch,Delivered,Debit Card,4.0
ORD-1052,Jan,Lahore,Clifton,Salt'n Pepper,Burger,Zinger Burger,2,432,0.0,79,864,943,475,468,Late Night,Delivered,Debit Card,4.0
ORD-1053,Jan,Lahore,Cantt,Pak Tea House,Karahi,Mutton Karahi,5,889,0.15,49,4445,3827,2445,1382,Lunch,Delivered,Cash on Delivery,4.0
ORD-1054,Jan,Lahore,Model Town,Haveli Restaurant,Biryani,Chicken Biryani,1,391,0.15,79,391,411,215,196,Dinner,Delivered,Credit Card,3.0
ORD-1055,Jan,Lahore,Johar Town,Cuckoo's Den,Burger,Smash Burger,1,575,0.0,49,575,624,316,308,Lunch,Delivered,Cash on Delivery,4.0
ORD-1056,Jan,Lahore,Cantt,Lahori Chargha,Shawarma,Mayo Shawarma,2,361,0.0,0,722,722,397,325,Late Night,Cancelled,JazzCash,
ORD-1057,Jan,Lahore,DHA,Waris Nihari,Burger,Zinger Burger,1,386,0.2,99,386,408,212,196,Lunch,Delivered,EasyPaisa,3.0
ORD-1058,Jan,Lahore,Model Town,Bundu Khan Lahore,Karahi,Chicken Karahi,1,915,0.0,79,915,994,503,491,Late Night,Delivered,EasyPaisa,3.0
ORD-1059,Jan,Lahore,Bahria Town,Hussain Chowk Paye,Broast,Half Broast,1,541,0.0,99,541,640,298,342,Breakfast,Delivered,JazzCash,4.5
ORD-1060,Jan,Lahore,Gulberg,Hussain Chowk Paye,Dessert,Ras Malai,2,250,0.2,49,500,449,275,174,Lunch,Delivered,EasyPaisa,3.5
ORD-1061,Jan,Lahore,Clifton,Lahori Chargha,Broast,Half Broast,1,611,0.15,79,611,598,336,262,Breakfast,Delivered,EasyPaisa,5.0
ORD-1062,Jan,Lahore,Iqbal Town,Cafe Aylanto,Dessert,Kheer,5,172,0.2,49,860,737,473,264,Breakfast,Cancelled,Credit Card,
ORD-1063,Jan,Lahore,Bahria Town,Waris Nihari,BBQ,Seekh Kabab,1,1449,0.0,0,1449,1449,797,652,Dinner,Delivered,Credit Card,4.5
ORD-1064,Jan,Lahore,DHA,Butt Karahi,Shawarma,Beef Shawarma,5,360,0.2,99,1800,1539,990,549,Dinner,Cancelled,Credit Card,
ORD-1065,Jan,Lahore,Clifton,Andaaz,Desi,Haleem,2,379,0.0,49,758,807,417,390,Lunch,Delivered,Debit Card,5.0
ORD-1066,Jan,Lahore,Model Town,Andaaz,Biryani,Beef Biryani,4,396,0.15,49,1584,1395,871,524,Lunch,Delivered,Credit Card,5.0
ORD-1067,Jan,Lahore,Cantt,Cuckoo's Den,Shawarma,Beef Shawarma,1,362,0.0,99,362,461,199,262,Breakfast,Delivered,Cash on Delivery,4.0
ORD-1068,Jan,Lahore,Garden Town,Spice Bazaar,BBQ,Boti Kabab,5,1131,0.15,99,5655,4906,3110,1796,Lunch,Delivered,Credit Card,4.5
ORD-1069,Jan,Lahore,Garden Town,Waris Nihari,Dessert,Zarda,3,181,0.0,0,543,543,299,244,Lunch,Delivered,Credit Card,3.0
ORD-1070,Jan,Lahore,Garden Town,Andaaz,Desi,Saag Gosht,2,311,0.15,79,622,608,342,266,Lunch,Cancelled,Credit Card,
ORD-1071,Jan,Lahore,Clifton,Charcoal Grill,Desi,Saag Gosht,2,352,0.1,99,704,733,387,346,Late Night,Delivered,Debit Card,4.0
ORD-1072,Jan,Lahore,Wapda Town,Yum! Lahore,Biryani,Prawn Biryani,2,323,0.1,0,646,581,355,226,Lunch,Delivered,JazzCash,3.0
ORD-1073,Jan,Lahore,Clifton,Andaaz,Karahi,Mutton Karahi,2,1014,0.1,49,2028,1874,1115,759,Breakfast,Delivered,EasyPaisa,4.0
ORD-1074,Jan,Lahore,DHA,Spice Bazaar,Shawarma,Chicken Shawarma,3,323,0.0,99,969,1068,533,535,Dinner,Delivered,Credit Card,4.0
ORD-1075,Jan,Lahore,Iqbal Town,Charcoal Grill,BBQ,Boti Kabab,1,1228,0.2,79,1228,1061,675,386,Breakfast,Delivered,Cash on Delivery,4.5
ORD-1076,Jan,Lahore,Iqbal Town,Cuckoo's Den,Desi,Aloo Gosht,3,417,0.0,99,1251,1350,688,662,Dinner,Cancelled,EasyPaisa,
ORD-1077,Jan,Lahore,Bahria Town,Haveli Restaurant,Nihari,Nalli Nihari,3,465,0.0,49,1395,1444,767,677,Dinner,Delivered,Credit Card,5.0
ORD-1078,Jan,Lahore,Cantt,Salt'n Pepper,Desi,Aloo Gosht,2,319,0.15,0,638,542,351,191,Breakfast,Delivered,Debit Card,4.0
ORD-1079,Jan,Lahore,Wapda Town,Haveli Restaurant,Biryani,Beef Biryani,1,410,0.15,0,410,348,226,122,Breakfast,Delivered,EasyPaisa,3.5
ORD-1080,Jan,Lahore,Wapda Town,McDonald's Gulberg,Karahi,Chicken Karahi,4,1086,0.15,0,4344,3692,2389,1303,Breakfast,Delivered,JazzCash,3.0
ORD-1081,Jan,Lahore,DHA,Charcoal Grill,Karahi,Beef Karahi,3,848,0.0,49,2544,2593,1399,1194,Breakfast,Delivered,JazzCash,4.5
ORD-1082,Jan,Lahore,Wapda Town,Cuckoo's Den,Biryani,Mutton Biryani,1,357,0.15,49,357,352,196,156,Lunch,Delivered,JazzCash,4.5
ORD-1083,Jan,Lahore,Iqbal Town,Butt Karahi,Desi,Saag Gosht,3,377,0.0,79,1131,1210,622,588,Dinner,Delivered,Cash on Delivery,4.0
ORD-1084,Jan,Lahore,Model Town,Hussain Chowk Paye,Biryani,Chicken Biryani,4,334,0.0,49,1336,1385,735,650,Breakfast,Delivered,EasyPaisa,5.0
ORD-1085,Jan,Lahore,Iqbal Town,Pak Tea House,Shawarma,Mayo Shawarma,5,305,0.1,0,1525,1372,839,533,Late Night,Delivered,JazzCash,3.0
ORD-1086,Jan,Lahore,Wapda Town,Lahori Chargha,Karahi,Beef Karahi,1,787,0.0,0,787,787,433,354,Lunch,Delivered,Debit Card,3.0
ORD-1087,Jan,Lahore,Bahria Town,Butt Karahi,Biryani,Mutton Biryani,4,405,0.15,0,1620,1377,891,486,Late Night,Cancelled,Cash on Delivery,
ORD-1088,Jan,Lahore,Model Town,Bundu Khan Lahore,Nihari,Mutton Nihari,3,353,0.0,99,1059,1158,582,576,Breakfast,Cancelled,Debit Card,
ORD-1089,Jan,Lahore,Model Town,Yum! Lahore,Shawarma,Beef Shawarma,5,272,0.0,0,1360,1360,748,612,Dinner,Cancelled,EasyPaisa,
ORD-1090,Jan,Lahore,Iqbal Town,Bundu Khan Lahore,BBQ,Seekh Kabab,3,1448,0.0,79,4344,4423,2389,2034,Lunch,Delivered,Cash on Delivery,5.0
ORD-1091,Jan,Lahore,Gulberg,Butt Karahi,Pizza,Fajita Pizza,1,862,0.15,0,862,733,474,259,Breakfast,Delivered,Credit Card,4.0
ORD-1092,Jan,Lahore,Garden Town,Spice Bazaar,Pizza,Chicken Tikka Pizza,4,976,0.0,99,3904,4003,2147,1856,Late Night,Cancelled,Credit Card,
ORD-1093,Jan,Lahore,Cantt,McDonald's Gulberg,Nihari,Nalli Nihari,5,348,0.0,99,1740,1839,957,882,Lunch,Delivered,Debit Card,4.0
ORD-1094,Jan,Lahore,Clifton,Lahori Chargha,BBQ,Chicken Tikka,5,1468,0.0,49,7340,7389,4037,3352,Lunch,Delivered,Debit Card,4.5
ORD-1095,Jan,Lahore,Wapda Town,Spice Bazaar,Karahi,Mutton Karahi,2,980,0.0,79,1960,2039,1078,961,Dinner,Delivered,Credit Card,4.5
ORD-1096,Jan,Lahore,Clifton,Lahori Chargha,BBQ,Seekh Kabab,4,1115,0.0,99,4460,4559,2453,2106,Lunch,Delivered,EasyPaisa,4.0
ORD-1097,Jan,Lahore,Model Town,Lahori Chargha,Dessert,Zarda,2,229,0.15,99,458,488,252,236,Dinner,Cancelled,EasyPaisa,
ORD-1098,Jan,Lahore,Bahria Town,Pak Tea House,Shawarma,Chicken Shawarma,1,267,0.0,0,267,267,147,120,Late Night,Delivered,Credit Card,3.0
ORD-1099,Jan,Lahore,Wapda Town,Charcoal Grill,Shawarma,Mayo Shawarma,5,335,0.15,0,1675,1424,921,503,Lunch,Delivered,EasyPaisa,4.0
ORD-1100,Jan,Lahore,Gulberg,Hussain Chowk Paye,Desi,Daal Makhni,2,442,0.0,0,884,884,486,398,Breakfast,Delivered,Cash on Delivery,4.0
ORD-1101,Jan,Lahore,Model Town,Waris Nihari,Biryani,Prawn Biryani,5,417,0.1,79,2085,1956,1147,809,Dinner,Delivered,Cash on Delivery,3.0
ORD-1102,Jan,Lahore,Clifton,Bundu Khan Lahore,Broast,3 Pcs Broast,4,584,0.1,49,2336,2151,1285,866,Lunch,Delivered,EasyPaisa,3.5
ORD-1103,Jan,Lahore,Cantt,Cafe Aylanto,Broast,Full Broast,3,652,0.2,0,1956,1565,1076,489,Late Night,Delivered,EasyPaisa,4.0
ORD-1104,Jan,Lahore,Cantt,Yum! Lahore,Biryani,Chicken Biryani,1,402,0.15,79,402,421,221,200,Late Night,Delivered,JazzCash,4.0
ORD-1105,Jan,Lahore,Cantt,Waris Nihari,Broast,3 Pcs Broast,2,650,0.2,0,1300,1040,715,325,Late Night,Cancelled,Debit Card,
ORD-1106,Jan,Lahore,Iqbal Town,Butt Karahi,Dessert,Zarda,3,229,0.15,0,687,584,378,206,Dinner,Delivered,Cash on Delivery,5.0
ORD-1107,Jan,Lahore,Johar Town,Waris Nihari,Biryani,Prawn Biryani,1,442,0.1,79,442,477,243,234,Lunch,Cancelled,Debit Card,
ORD-1108,Jan,Lahore,Gulberg,Bundu Khan Lahore,Dessert,Ras Malai,1,225,0.0,0,225,225,124,101,Late Night,Cancelled,JazzCash,
ORD-1109,Jan,Lahore,Bahria Town,Cafe Aylanto,Broast,Half Broast,2,629,0.15,79,1258,1148,692,456,Dinner,Delivered,JazzCash,4.0
ORD-1110,Jan,Lahore,Clifton,Andaaz,Dessert,Kheer,1,216,0.2,79,216,252,119,133,Lunch,Delivered,EasyPaisa,5.0
ORD-1111,Jan,Lahore,DHA,Waris Nihari,Desi,Aloo Gosht,1,300,0.2,49,300,289,165,124,Late Night,Cancelled,Debit Card,
ORD-1112,Jan,Lahore,Model Town,Waris Nihari,Pizza,BBQ Pizza,1,752,0.0,99,752,851,414,437,Late Night,Delivered,Cash on Delivery,4.5
ORD-1113,Jan,Lahore,Iqbal Town,Yum! Lahore,Desi,Haleem,1,316,0.0,79,316,395,174,221,Breakfast,Cancelled,JazzCash,
ORD-1114,Jan,Lahore,Johar Town,Spice Bazaar,BBQ,Boti Kabab,1,1324,0.1,0,1324,1192,728,464,Lunch,Delivered,Credit Card,3.0
ORD-1115,Jan,Lahore,Bahria Town,Cuckoo's Den,Dessert,Zarda,2,258,0.0,49,516,565,284,281,Late Night,Delivered,Cash on Delivery,3.0
ORD-1116,Jan,Lahore,Bahria Town,Hussain Chowk Paye,Biryani,Beef Biryani,4,412,0.2,99,1648,1417,906,511,Breakfast,Delivered,EasyPaisa,4.5
ORD-1117,Jan,Lahore,Clifton,Cafe Aylanto,Biryani,Prawn Biryani,4,319,0.1,0,1276,1148,702,446,Lunch,Delivered,Credit Card,4.5
ORD-1118,Jan,Lahore,Model Town,McDonald's Gulberg,Desi,Daal Makhni,1,326,0.0,79,326,405,179,226,Breakfast,Delivered,EasyPaisa,4.0
ORD-1119,Jan,Lahore,Wapda Town,Cafe Aylanto,Burger,Zinger Burger,3,511,0.15,79,1533,1382,843,539,Dinner,Delivered,Cash on Delivery,5.0
ORD-1120,Jan,Lahore,Gulberg,McDonald's Gulberg,Shawarma,Chicken Shawarma,5,360,0.0,49,1800,1849,990,859,Dinner,Delivered,Cash on Delivery,4.5
ORD-1121,Jan,Lahore,Iqbal Town,Yum! Lahore,Shawarma,Spicy Shawarma,2,292,0.2,79,584,546,321,225,Lunch,Delivered,JazzCash,3.5
ORD-1122,Jan,Lahore,Iqbal Town,Andaaz,Karahi,Beef Karahi,2,840,0.0,0,1680,1680,924,756,Late Night,Delivered,JazzCash,4.0
ORD-1123,Jan,Lahore,Garden Town,McDonald's Gulberg,BBQ,Seekh Kabab,2,1538,0.15,49,3076,2664,1692,972,Dinner,Delivered,Debit Card,4.5
ORD-1124,Jan,Lahore,Garden Town,Waris Nihari,Shawarma,Chicken Shawarma,1,281,0.1,49,281,302,155,147,Dinner,Delivered,JazzCash,3.0
ORD-1125,Jan,Lahore,Clifton,Waris Nihari,Biryani,Mutton Biryani,1,329,0.0,49,329,378,181,197,Dinner,Cancelled,Credit Card,
ORD-1126,Jan,Lahore,Wapda Town,Charcoal Grill,Dessert,Ras Malai,3,210,0.0,49,630,679,346,333,Breakfast,Delivered,JazzCash,5.0
ORD-1127,Jan,Lahore,Garden Town,Waris Nihari,Shawarma,Beef Shawarma,4,281,0.1,79,1124,1091,618,473,Dinner,Delivered,Credit Card,4.0
ORD-1128,Jan,Lahore,DHA,Andaaz,Desi,Haleem,4,326,0.0,79,1304,1383,717,666,Lunch,Delivered,Cash on Delivery,4.5
ORD-1129,Jan,Lahore,Model Town,Butt Karahi,Burger,Crispy Burger,2,429,0.0,79,858,937,472,465,Breakfast,Delivered,Cash on Delivery,4.5
ORD-1130,Jan,Lahore,Iqbal Town,Haveli Restaurant,Desi,Aloo Gosht,4,422,0.1,79,1688,1598,928,670,Breakfast,Cancelled,Cash on Delivery,
ORD-1131,Jan,Lahore,Clifton,Charcoal Grill,Desi,Haleem,5,359,0.0,49,1795,1844,987,857,Dinner,Delivered,Debit Card,5.0
ORD-1132,Jan,Lahore,Wapda Town,Andaaz,Nihari,Mutton Nihari,3,519,0.1,79,1557,1480,856,624,Lunch,Delivered,Credit Card,5.0
ORD-1133,Jan,Lahore,Cantt,Pak Tea House,Broast,Full Broast,3,613,0.15,0,1839,1563,1011,552,Lunch,Cancelled,Cash on Delivery,
ORD-1134,Jan,Lahore,Johar Town,Waris Nihari,Pizza,Fajita Pizza,2,745,0.0,49,1490,1539,820,719,Dinner,Delivered,Credit Card,4.0
ORD-1135,Jan,Lahore,Model Town,Cuckoo's Den,Burger,Double Patty Burger,1,498,0.1,99,498,547,274,273,Late Night,Delivered,JazzCash,3.0
ORD-1136,Jan,Lahore,Bahria Town,Pak Tea House,Dessert,Ras Malai,2,214,0.0,99,428,527,235,292,Breakfast,Delivered,EasyPaisa,4.5
ORD-1137,Jan,Lahore,Clifton,Lahori Chargha,BBQ,Seekh Kabab,2,1128,0.15,99,2256,2017,1241,776,Dinner,Delivered,EasyPaisa,4.0
ORD-1138,Jan,Lahore,Iqbal Town,Spice Bazaar,Shawarma,Beef Shawarma,3,343,0.0,49,1029,1078,566,512,Dinner,Delivered,EasyPaisa,4.5
ORD-1139,Jan,Lahore,Johar Town,Haveli Restaurant,Nihari,Beef Nihari,2,470,0.1,0,940,846,517,329,Dinner,Delivered,Credit Card,4.0
ORD-1140,Jan,Lahore,Johar Town,Charcoal Grill,Dessert,Kheer,3,171,0.1,49,513,511,282,229,Lunch,Delivered,EasyPaisa,3.0
ORD-1141,Jan,Lahore,Gulberg,Lahori Chargha,Karahi,Mutton Karahi,5,769,0.1,99,3845,3560,2115,1445,Lunch,Cancelled,EasyPaisa,
ORD-1142,Jan,Lahore,Bahria Town,Lahori Chargha,Karahi,White Karahi,2,1107,0.0,99,2214,2313,1218,1095,Late Night,Delivered,JazzCash,4.0
ORD-1143,Jan,Lahore,Gulberg,Bundu Khan Lahore,Pizza,Chicken Tikka Pizza,3,959,0.0,0,2877,2877,1582,1295,Breakfast,Delivered,EasyPaisa,5.0
ORD-1144,Jan,Lahore,Clifton,Charcoal Grill,Shawarma,Beef Shawarma,2,266,0.2,99,532,525,293,232,Late Night,Delivered,Cash on Delivery,3.5
ORD-1145,Jan,Lahore,Cantt,Pak Tea House,BBQ,Mix BBQ Platter,2,1045,0.1,79,2090,1960,1150,810,Breakfast,Delivered,Cash on Delivery,4.5
ORD-1146,Jan,Lahore,Cantt,Yum! Lahore,Burger,Crispy Burger,2,531,0.0,79,1062,1141,584,557,Lunch,Delivered,Credit Card,4.5
ORD-1147,Jan,Lahore,Clifton,Spice Bazaar,Nihari,Special Nihari,5,463,0.2,0,2315,1852,1273,579,Lunch,Delivered,Credit Card,4.5
ORD-1148,Jan,Lahore,Clifton,Yum! Lahore,Pizza,Chicken Tikka Pizza,4,833,0.0,99,3332,3431,1833,1598,Dinner,Delivered,EasyPaisa,4.0
ORD-1149,Jan,Lahore,Iqbal Town,Hussain Chowk Paye,Biryani,Chicken Biryani,3,398,0.0,99,1194,1293,657,636,Late Night,Delivered,Debit Card,5.0
ORD-1150,Jan,Lahore,Iqbal Town,Spice Bazaar,Pizza,Chicken Tikka Pizza,4,870,0.0,99,3480,3579,1914,1665,Lunch,Delivered,Debit Card,5.0
ORD-1151,Jan,Lahore,Cantt,Cuckoo's Den,Pizza,Pepperoni Pizza,4,700,0.0,0,2800,2800,1540,1260,Lunch,Delivered,JazzCash,4.0
ORD-1152,Jan,Lahore,Gulberg,Bundu Khan Lahore,Burger,Smash Burger,1,403,0.0,0,403,403,222,181,Dinner,Delivered,Credit Card,4.0
ORD-1153,Jan,Lahore,Iqbal Town,Cafe Aylanto,Shawarma,Chicken Shawarma,3,261,0.0,79,783,862,431,431,Late Night,Delivered,Credit Card,4.0
ORD-1154,Jan,Lahore,Johar Town,Spice Bazaar,Pizza,BBQ Pizza,2,954,0.1,79,1908,1796,1049,747,Lunch,Delivered,JazzCash,3.0
ORD-1155,Jan,Lahore,Johar Town,Salt'n Pepper,BBQ,Boti Kabab,3,1419,0.0,49,4257,4306,2341,1965,Dinner,Delivered,Debit Card,3.5
ORD-1156,Jan,Lahore,DHA,Waris Nihari,Burger,Crispy Burger,5,536,0.0,99,2680,2779,1474,1305,Lunch,Delivered,Credit Card,3.5
ORD-1157,Feb,Lahore,Clifton,Bundu Khan Lahore,Shawarma,Chicken Shawarma,4,257,0.15,79,1028,953,565,388,Breakfast,Cancelled,JazzCash,
ORD-1158,Feb,Lahore,Clifton,Haveli Restaurant,Biryani,Beef Biryani,2,299,0.0,79,598,677,329,348,Late Night,Delivered,Cash on Delivery,4.5
ORD-1159,Feb,Lahore,Iqbal Town,Cafe Aylanto,Pizza,Pepperoni Pizza,2,831,0.15,79,1662,1492,914,578,Breakfast,Cancelled,JazzCash,
ORD-1160,Feb,Lahore,Cantt,Bundu Khan Lahore,Burger,Double Patty Burger,5,571,0.0,49,2855,2904,1570,1334,Lunch,Delivered,Cash on Delivery,4.5
